attack,defense,height_m,hp,sp_attack,sp_defense,speed,weight_kg,type1_bug,type1_dark,type1_dragon,type1_electric,type1_fairy,type1_fighting,type1_fire,type1_flying,type1_ghost,type1_grass,type1_ground,type1_ice,type1_normal,type1_poison,type1_psychic,type1_rock,type1_steel,type1_water,type2_None,type2_bug,type2_dark,type2_dragon,type2_electric,type2_fairy,type2_fighting,type2_fire,type2_flying,type2_ghost,type2_grass,type2_ground,type2_ice,type2_normal,type2_poison,type2_psychic,type2_rock,type2_steel,type2_water
0.24444444444444446,0.19555555555555554,0.041666666666666664,0.1732283464566929,0.29891304347826086,0.2142857142857143,0.22857142857142854,0.006801360272054411,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.31666666666666665,0.25777777777777783,0.0625,0.23228346456692914,0.3804347826086956,0.28571428571428575,0.3142857142857143,0.01290258051610322,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.5277777777777778,0.5244444444444444,0.13194444444444445,0.3110236220472441,0.608695652173913,0.4761904761904763,0.42857142857142855,0.09991998399679936,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.2611111111111111,0.1688888888888889,0.03472222222222222,0.14960629921259844,0.2717391304347826,0.14285714285714285,0.34285714285714286,0.008401680336067212,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3277777777777778,0.23555555555555555,0.06944444444444445,0.22440944881889763,0.3804347826086956,0.2142857142857143,0.42857142857142855,0.01890378075615123,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.55,0.3244444444444445,0.1111111111111111,0.3031496062992126,0.8097826086956521,0.45238095238095244,0.5428571428571428,0.09041808361672334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.23888888888888887,0.26666666666666666,0.02777777777777778,0.16929133858267717,0.21739130434782608,0.20952380952380956,0.21714285714285714,0.008901780356071214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.32222222222222224,0.33333333333333337,0.0625,0.2283464566929134,0.29891304347826086,0.28571428571428575,0.3028571428571428,0.022404480896179236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5444444444444445,0.5111111111111111,0.10416666666666667,0.30708661417322836,0.6793478260869564,0.45238095238095244,0.41714285714285715,0.08541708341668333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1388888888888889,0.13333333333333333,0.013888888888888888,0.1732283464566929,0.05434782608695652,0.0,0.22857142857142854,0.0028005601120224045,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08333333333333334,0.2222222222222222,0.041666666666666664,0.19291338582677164,0.08152173913043478,0.023809523809523808,0.14285714285714285,0.009801960392078415,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2222222222222222,0.19999999999999998,0.06944444444444445,0.23228346456692914,0.43478260869565216,0.28571428571428575,0.37142857142857144,0.03190638127625525,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.16666666666666666,0.1111111111111111,0.013888888888888888,0.15354330708661418,0.05434782608695652,0.0,0.2571428571428571,0.003100620124024805,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
